Input Price,Sentiment,Output Price
1.958333,-0.00229166,1.729167
1.729167,-0.00020834,1.708333
1.708333,-0.00072916,1.635417
1.635417,-0.00208334,1.427083
1.427083,-0.0003125,1.395833
1.395833,0.00104167,1.5
1.5,0.00083333,1.583333
1.583333,-0.00052083,1.53125
1.53125,-0.00026042,1.505208
1.505208,-5.208E-05,1.5
1.5,0.00010417,1.510417
1.510417,-0.0003125,1.479167
1.479167,-0.000625,1.416667
1.416667,0.00125,1.541667
1.541667,0.00114583,1.65625
1.65625,0.0003125,1.6875
1.6875,-0.00104167,1.583333
1.583333,-0.00041666,1.541667
1.541667,0.000625,1.604167
1.604167,-0.00020834,1.583333
1.583333,-0.00010416,1.572917
1.572917,-0.00067709,1.505208
1.505208,5.209E-05,1.510417
1.510417,0,1.510417
1.510417,0.00015625,1.526042
1.526042,-0.00026042,1.5
1.5,0.00010417,1.510417
1.510417,0,1.510417
1.510417,0,1.510417
1.510417,-0.00020834,1.489583
1.489583,0.00052084,1.541667
1.541667,-0.00026042,1.515625
1.515625,0.00072917,1.588542
1.588542,0.00322916,1.911458
1.911458,0.00088542,2
2,0.00302083,2.302083
2.302083,0.00020834,2.322917
2.322917,0.00239583,2.5625
2.5625,-0.00270833,2.291667
2.291667,-0.0015625,2.135417
2.135417,0.00302083,2.4375
2.4375,-0.00104167,2.333333
2.333333,-0.00114583,2.21875
2.21875,-0.000625,2.15625
2.15625,0.00026042,2.182292
2.182292,-0.00046875,2.135417
2.135417,0.0015625,2.291667
2.291667,-0.0003125,2.260417
2.260417,-0.0003125,2.229167
2.229167,0.0009375,2.322917
2.322917,0.0015625,2.479167
2.479167,-0.0003125,2.447917
2.447917,-0.00052084,2.395833
2.395833,0.00020834,2.416667
2.416667,-0.00104167,2.3125
2.3125,-0.00104167,2.208333
2.208333,0.00041667,2.25
2.25,-0.00072917,2.177083
2.177083,0.00114584,2.291667
2.291667,0.00036458,2.328125
2.328125,-0.00130208,2.197917
2.197917,0,2.197917
2.197917,-0.00041667,2.15625
2.15625,-0.00041667,2.114583
2.114583,-0.00072916,2.041667
2.041667,0.00125,2.166667
2.166667,0,2.166667
2.166667,-0.00052084,2.114583
2.114583,0.00010417,2.125
2.125,0.0009375,2.21875
2.21875,0.00125,2.34375
2.34375,-0.00026042,2.317708
2.317708,0.00057292,2.375
2.375,-0.00036458,2.338542
2.338542,0.00015625,2.354167
2.354167,-0.00020834,2.333333
2.333333,0.0021875,2.552083
2.552083,-0.00052083,2.5
2.5,0.005,3
3,0.00239583,3.239583
3.239583,0.000625,3.302083
3.302083,-0.00145833,3.15625
3.15625,0.0053125,3.6875
3.6875,-0.0059375,3.09375
3.09375,0.00260417,3.354167
3.354167,0.00052083,3.40625
3.40625,-0.00114583,3.291667
3.291667,0.0065625,3.947917
3.947917,0.00552083,4.5
4.5,0.00125,4.625
4.625,-0.0025,4.375
4.375,-0.00296875,4.078125
4.078125,0.00088542,4.166667
4.166667,-0.00125,4.041667
4.041667,0.00296875,4.338542
4.338542,-0.00317709,4.020833
4.020833,-0.00010416,4.010417
4.010417,5.208E-05,4.015625
4.015625,0.00109375,4.125
4.125,-0.00067708,4.057292
4.057292,-0.00052084,4.005208
4.005208,-0.00255208,3.75
3.75,0.00151042,3.901042
3.901042,0.00098958,4
4,-0.00020833,3.979167
3.979167,-0.00057292,3.921875
3.921875,-0.00296875,3.625
3.625,0,3.625
3.625,0.00197917,3.822917
3.822917,0.00604166,4.427083
4.427083,0.0009375,4.520833
4.520833,-0.00020833,4.5
4.5,0.00526042,5.026042
5.026042,-0.00755209,4.270833
4.270833,0.00677084,4.947917
4.947917,0.00442708,5.390625
5.390625,-0.00265625,5.125
5.125,-0.00041667,5.083333
5.083333,-0.00010416,5.072917
5.072917,-0.00114584,4.958333
4.958333,-0.00083333,4.875
4.875,-0.00213542,4.661458
4.661458,-0.00182291,4.479167
4.479167,-0.00270834,4.208333
4.208333,-0.00260416,3.947917
3.947917,-0.00177084,3.770833
3.770833,0.00088542,3.859375
3.859375,0.00307292,4.166667
4.166667,0.00208333,4.375
4.375,0.00041667,4.416667
4.416667,0.0009375,4.510417
4.510417,0.00072916,4.583333
4.583333,-0.0009375,4.489583
4.489583,-0.00260416,4.229167
4.229167,-0.00026042,4.203125
4.203125,0.00057292,4.260417
4.260417,-0.00135417,4.125
4.125,0.00145833,4.270833
4.270833,-0.00036458,4.234375
4.234375,0.00130208,4.364583
4.364583,0.00135417,4.5
4.5,0.0009375,4.59375
4.59375,0.00114583,4.708333
4.708333,-0.00020833,4.6875
4.6875,-0.00177083,4.510417
4.510417,0.00177083,4.6875
4.6875,-0.00145833,4.541667
4.541667,0.00041666,4.583333
4.583333,-0.00125,4.458333
4.458333,-0.00067708,4.390625
4.390625,-0.00098958,4.291667
4.291667,0.00208333,4.5
4.5,0.00197917,4.697917
4.697917,-0.00072917,4.625
4.625,-0.00020833,4.604167
4.604167,-0.00083334,4.520833
4.520833,0.00229167,4.75
4.75,0.00098958,4.848958
4.848958,0.00171875,5.020833
5.020833,-0.000625,4.958333
4.958333,-0.00208333,4.75
4.75,0.00088542,4.838542
4.838542,-0.00057292,4.78125
4.78125,-0.00166667,4.614583
4.614583,-0.00354166,4.260417
4.260417,0.00041666,4.302083
4.302083,0.0034375,4.645833
4.645833,0.00229167,4.875
4.875,0.00078125,4.953125
4.953125,-0.00161458,4.791667
4.791667,0.00161458,4.953125
4.953125,0.00119792,5.072917
5.072917,0.000625,5.135417
5.135417,-0.00197917,4.9375
4.9375,-0.00125,4.8125
4.8125,-0.000625,4.75
4.75,0.00020833,4.770833
4.770833,0.001875,4.958333
4.958333,-0.00041666,4.916667
4.916667,0.0028125,5.197917
5.197917,-0.00046875,5.151042
5.151042,-0.00088542,5.0625
5.0625,-0.00125,4.9375
4.9375,-0.0003125,4.90625
4.90625,-0.00052083,4.854167
4.854167,0.00447916,5.302083
5.302083,-0.00010416,5.291667
5.291667,-0.0003125,5.260417
5.260417,-0.00072917,5.1875
5.1875,-0.00041667,5.145833
5.145833,-0.00072916,5.072917
5.072917,0.0015625,5.229167
5.229167,0.00041666,5.270833
5.270833,0.00135417,5.40625
5.40625,0,5.40625
5.40625,0.00083333,5.489583
5.489583,0.00572917,6.0625
6.0625,0.00354167,6.416667
6.416667,-0.000625,6.354167
6.354167,-0.00375,5.979167
5.979167,0.00140625,6.119792
6.119792,0.00130208,6.25
